Название статьи	Дата публикации	Автор статьи	Рубрика	Путь к файлу	Название статьи (lemma)
ОСНОВНЫЕ МЕРЫ БЕЗОПАСНОСТИ ПРИ ОБРАЩЕНИИ С ПИРОТЕХНИКОЙ	Декабрь 26th, 2015 09:37 ДП	-	Службы информируют	2015/December/2685.txt	основной мера безопасность при обращение с пиротехника
РЕАЛИЗАЦИЯ НА ТЕРРИТОРИИ БРЯНСКОГО РАЙОНА ФЕДЕРАЛЬНОГО ЗАКОНА 442-ФЗ ПО ИТОГАМ 10 МЕСЯЦЕВ 2015 ГОДА КЦСОН БРЯНСКОГО РАЙОНА	Декабрь 26th, 2015 09:37 ДП	-	Службы информируют	2015/December/2686.txt	реализация на территория брянский район федеральный закон 442-фз по итог 10 месяц 2015 год кцсон брянский район
ГЛИНИЩЕВО ПРИРАСТАЕТ ДОМАМИ	Август 7th, 2015 09:08 ДП	-	Профессиональный праздник	2015/August/2687.txt	глинищево прирастать дом
В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ	Август 7th, 2015 09:07 ДП	-	Народ и власть	2015/August/2688.txt	в правительство область
ЧЕЛОВЕК ТВЁРДОГО СЛОВА	Август 7th, 2015 09:06 ДП	-	Наши земляки	2015/August/2689.txt	человек твердый слово
«1030 ДОБРЫХ ДЕЛ»	Август 7th, 2015 09:05 ДП	-	Информация	2015/August/2690.txt	«1030 добрый дело»
НЕ ОСТАВЛЯЙТЕ ИМУЩЕСТВО БЕЗ ПРИСМОТРА	Август 7th, 2015 09:04 ДП	-	Происшествия	2015/August/2691.txt	не оставлять имущество без присмотр
«МОЯ РОССИЯ»	Август 7th, 2015 09:02 ДП	-	Службы информируют	2015/August/2692.txt	«мой россия»
РОССТАТ ОТКРЫЛ САЙТ ВСЕРОССИЙСКОЙ СЕЛЬСКОХОЗЯЙСТВЕННОЙ ПЕРЕПИСИ 2016 ГОДА	Август 7th, 2015 09:01 ДП	-	Службы информируют	2015/August/2693.txt	росстат открывать сайт всероссийский сельскохозяйственный перепись 2016 год
У СЕЛЬХОЗПЕРЕПИСИ БУДЕТ СВОЙ ТАЛИСМАН	Август 7th, 2015 09:01 ДП	-	Службы информируют	2015/August/2694.txt	у сельхозперепись быть свой талисман
В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ	Апрель 24th, 2015 10:34 ДП	-	Народ и власть	2015/April/2695.txt	в правительство область
ЖИЗНЬ КАК ПОДВИГ	Апрель 24th, 2015 10:33 ДП	Валентин СТЕПАНОВ.	Вручение юбилейной медали «70 лет Победы в Великой Отечественной войне 1941-1945 гг.»	2015/April/2696.txt	жизнь как подвиг
ЭТО НАША ПОБЕДА!	Апрель 24th, 2015 10:31 ДП	-	Культурно-массовые, спортивные и общественно-просветительские мероприятия	2015/April/2697.txt	это наш победа!
«ХРУСТАЛЬНЫЙ МИКРОФОН»	Апрель 24th, 2015 10:30 ДП	Оксана КУЗНЕЦОВА.	Культурно-массовые, спортивные и общественно-просветительские мероприятия	2015/April/2698.txt	«хрустальный микрофон»
ЗАЩИТА КАЧЕСТВА ЖИЗНИ И ПРАВ ЧЕЛОВЕКА	Апрель 24th, 2015 10:29 ДП	-	Район: день за днем	2015/April/2699.txt	защита качество жизнь и право человек
О РЯДОВОМ СОЛДАТЕ ЗАМОЛВИТЕ СЛОВО…	Апрель 24th, 2015 10:28 ДП	     Геннадий Федорович Федоренков.	«Творцы Победы»	2015/April/2700.txt	о рядовой солдат замолвить слово…
«ПОКА СЕРДЦА СТУЧАТСЯ, ПОМНИТЕ!»	Апрель 24th, 2015 10:26 ДП	Вероника Богатырёва.	Районные, областные и федеральные акции	2015/April/2701.txt	«пока сердце стучаться, помнить!»
ВСТРЕЧА В МУЗЕЕ	Апрель 24th, 2015 10:23 ДП	Валентина Шатунова.	Культурно-массовые, спортивные и общественно-просветительские мероприятия	2015/April/2702.txt	встреча в музей
В ДУХЕ СОПЕРНИЧЕСТВА И ВЗАИМНОГО УВАЖЕНИЯ	Апрель 24th, 2015 10:22 ДП	Артем СЕРГЕЕВ.	Спорт	2015/April/2703.txt	в дух соперничество и взаимный уважение
ПРИГЛАШАЕМ НА СМОТР-КОНКУРС	Апрель 24th, 2015 10:21 ДП	-	Информация	2015/April/2704.txt	приглашать на смотр-конкурс
ФЕСТИВАЛЬ «СВЕТЛАЯ СЕДМИЦА»	Апрель 10th, 2015 11:35 ДП	-	Информация	2015/April/2705.txt	фестиваль «светлый седмица»
В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ	Апрель 10th, 2015 11:34 ДП	-	Народ и власть	2015/April/2706.txt	в правительство область
СОВЕТ ДА ЛЮБОВЬ ДЛИНОЙ В ПОЛВЕКА	Апрель 10th, 2015 11:33 ДП	Константин ЩЕГЛОВ.	В администрации района	2015/April/2707.txt	совет да любовь длина в полвека
СОГРЕЙ ДУШУ ВЕТЕРАНА	Апрель 10th, 2015 11:32 ДП	Марченкова Анастасия,Воробьева Дарья,Ткачева Анастасия,	Вручение юбилейной медали «70 лет Победы в Великой Отечественной войне 1941-1945 гг.»	2015/April/2708.txt	согревать душа ветеран
«НАШИ ТАЛАНТЫ ТЕБЕ, РОССИЯ!»	Апрель 10th, 2015 11:30 ДП	Ирина ЛИТВИНОВА.	Район: день за днем	2015/April/2709.txt	«наш талант ты, россия!»
И ЖИТЕЛИ БРЯНСКОГО РАЙОНА ОТКЛИКНУЛИСЬ!	Апрель 10th, 2015 11:28 ДП	-	Разное	2015/April/2710.txt	и житель брянский район откликаться!
КАПИТАЛЬНЫЙ РЕМОНТ ПОД ОБЩЕСТВЕННЫМ КОНТРОЛЕМ	Апрель 10th, 2015 11:27 ДП	-	Службы информируют	2015/April/2711.txt	капитальный ремонт под общественный контроль
ЯРМАРКА ВАКАНСИЙ	Апрель 10th, 2015 11:26 ДП	-	Информация	2015/April/2712.txt	ярмарка вакансия
АЛЕКСАНДР БОГОМАЗ: «СТРАТЕГИЯ БУДУЩЕГО БРЯНЩИНЫ — В РУКАХ МОЛОДЫХ»	Декабрь 19th, 2014 02:31 ПП	-	Народ и власть	2014/December/2713.txt	александр богомаз: «стратегия будущий брянщина — в рука молодые»
ЛУЧШИЕ ИЗ ЛУЧШИХ !	Август 28th, 2014 08:30 ДП	-	Разное	2014/August/2714.txt	хороший из хороший !
ПЕРСПЕКТИВНЫЙ АГРОПРОЕКТ	Апрель 4th, 2014 01:57 ПП	-	Район: день за днем	2014/April/2715.txt	перспективный агропроект
В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ	Апрель 4th, 2014 01:56 ПП	 Пресс-служба.	Народ и власть	2014/April/2716.txt	в правительство область
ВЕСЕННИЙ ПРИЗЫВ	Апрель 4th, 2014 01:54 ПП	-	Район: день за днем	2014/April/2717.txt	весенний призыв
В БРЯНСКОЙ ОБЛАСТНОЙ ДУМЕ	Апрель 4th, 2014 01:54 ПП	 Информационно-аналитический отдел	Народ и власть	2014/April/2718.txt	в брянский областной дума
«МЕГАПОЛИС»: ОРИЕНТИРЫ — КОМФОРТ И ДОСТУПНОСТЬ	Апрель 4th, 2014 01:53 ПП	Артем СЕРГЕЕВ.	Район: день за днем	2014/April/2719.txt	«мегаполис»: ориентир — комфорт и доступность
ДЕЛЕГАЦИЯ БРЯНСКОГО ЗЕМЛЯЧЕСТВА — НА БМЗ	Апрель 4th, 2014 01:52 ПП	Александр КАЗАКОВ.	Разное	2014/April/2720.txt	делегация брянский землячество — на БМЗ
УЧАСТНИКИ ПРОГРАММЫ ГОССОФИНАНСИРОВАНИЯ ПЕНСИИ  МОГУТ ЕЖЕГОДНО ПОЛУЧАТЬ НАЛОГОВЫЙ ВЫЧЕТ	Апрель 4th, 2014 01:51 ПП	УПФР (ГУ) в Брянском муниципальном	Службы информируют	2014/April/2721.txt	участник программа госсофинансирование пенсия  мочь ежегодно получать налоговый вычет
ВИРТУОЗЫ БРЯНСКОГО РАЙОНА	Апрель 4th, 2014 01:50 ПП	Вероника БогатырЁва,	Район: день за днем	2014/April/2722.txt	виртуоз брянский район
ДОБРЫХ ДЕЛ И ТВОРЧЕСКИХ ПОБЕД!	Апрель 4th, 2014 01:49 ПП	     Анна Варламова,	Разное	2014/April/2723.txt	добрый дело и творческий победа!
ПОМОЧЬ ДЕТЯМ — ДОЛГ ОБЩЕСТВА	Декабрь 27th, 2013 12:16 ПП	-	Разное	2013/December/2724.txt	помогать ребенок — долг общество
НАШИ ШЕФЫ — МОЛОДЦЫ!	Декабрь 27th, 2013 12:14 ПП	-	Письмо в газету	2013/December/2725.txt	наш шеф — молодец!
СУПОНЕВО: ВСЕ ВОПРОСЫ РЕШАЮТСЯ	Август 23rd, 2012 12:15 ПП	-	Район: день за днем	2012/August/2726.txt	супоневый: весь вопрос решаться
Брянские предприниматели узнали о новых возможностях государственной программы помощи их бизнесу	Август 6th, 2012 03:55 ПП	-	В администрации района	2012/August/2727.txt	брянский предприниматель узнавать о новый возможность государственный программа помощь их бизнес
РАБОТАЯ ВМЕСТЕ С РЕГИОНАЛЬНОЙ ВЛАСТЬЮ	Апрель 7th, 2011 10:47 ДП	-	Народ и власть	2011/April/2728.txt	работать вместе с региональный власть
В РАЙОНЕ ПРОДОЛЖАЕТСЯ СТРОИТЕЛЬСТВО	Апрель 7th, 2011 09:41 ДП	-	Район: день за днем	2011/April/2729.txt	в район продолжаться строительство
В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ	Август 15th, 2014 09:19 ДП	Пресс-служба.	Народ и власть	2014/August/2730.txt	в правительство область
ВО ИСПОЛНЕНИЕ УКАЗОВ ПРЕЗИДЕНТА	Декабрь 3rd, 2013 09:38 ДП	-	Народ и власть	2013/December/2731.txt	во исполнение указ президент
О ПОДГОТОВКЕ К ЗИМЕ	Декабрь 3rd, 2013 09:34 ДП	-	Народ и власть	2013/December/2732.txt	о подготовка к зима
ЗОЛОТЫЕ ЮБИЛЯРЫ	Декабрь 3rd, 2013 09:33 ДП	-	Наши земляки	2013/December/2733.txt	золотой юбиляр
В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ	Декабрь 3rd, 2013 09:32 ДП	-	Народ и власть	2013/December/2734.txt	в правительство область
ТЁПЛЫЕ СЛОВА И ПОДАРКИ – МАМАМ	Декабрь 3rd, 2013 09:31 ДП	-	Разное	2013/December/2735.txt	теплый слово и подарок – мама
ЮНЫЕ ЗВЕЗДОЧКИ	Декабрь 3rd, 2013 09:29 ДП	-	Разное	2013/December/2736.txt	юный звездочка
СТРАЖИ ПОРЯДКА В ГОСТЯХ У ВЕТЕРАНОВ	Апрель 8th, 2015 10:38 ДП	Штаб МО МВД России «Брянский».	Культурно-массовые, спортивные и общественно-просветительские мероприятия	2015/April/2737.txt	страж порядок в гость у ветеран
ЕДИНОВРЕМЕННАЯ ВЫПЛАТА В СВЯЗИ С ПРАЗДНОВАНИЕМ 70-ЛЕТИЯ ПОБЕДЫ В ВЕЛИКОЙ ОТЕЧЕСТВЕННОЙ ВОЙНЕ	Апрель 8th, 2015 10:36 ДП	Начальник	Социальная поддержка участников Великой Отечественной войны	2015/April/2738.txt	единовременный выплата в связь с празднование 70-летие победа в великий отечественный война
ПЕСНИ, ОПАЛЁННЫЕ ВОЙНОЙ	Апрель 8th, 2015 10:35 ДП	В.В. Справцева.	Культурно-массовые, спортивные и общественно-просветительские мероприятия	2015/April/2739.txt	песня, опалять война
«РОССИИ НЕ НУЖНА ВОЙНА»	Апрель 8th, 2015 10:33 ДП	Барабанова Т.С.,  Свиридова С.А., Авраменко И.Н., Денисенко Д.Д.,	Районные, областные и федеральные акции	2015/April/2740.txt	«россия не нужный война»
